emoji,unicode_codepoint,unicode_name
😍,0x1f60d,SMILING FACE WITH HEART-SHAPED EYES
😭,0x1f62d,LOUDLY CRYING FACE
😘,0x1f618,FACE THROWING A KISS
😊,0x1f60a,SMILING FACE WITH SMILING EYES
😁,0x1f601,GRINNING FACE WITH SMILING EYES
😉,0x1f609,WINKING FACE
😄,0x1f604,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😒,0x1f612,UNAMUSED FACE
😔,0x1f614,PENSIVE FACE
😢,0x1f622,CRYING FACE
😆,0x1f606,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
😀,0x1f600,GRINNING FACE
😐,0x1f610,NEUTRAL FACE
😛,0x1f61b,FACE WITH STUCK-OUT TONGUE
😲,0x1f632,ASTONISHED FACE
😧,0x1f627,ANGUISHED FACE
